state:int	x:float	y:float	r:int	stroke:string	fill:string	opacity:float	class:string	label:string	showvalue:boolean
9	0.5	0.5	0	black	white	0	client		0
10	0.5	0.5	0	black	white	0	client		0
10	0.5	0.3	50	cadetblue	cadetblue	1	server proposer		0
10	0.4	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor		0
10	0.6	0.577128129	50	hotpink	hotpink	1	server learner		0
10	0.5	0.5	0	black	white	0	client		0
10	0.5	0.5	0	black	white	0	client		0
10	0.5	0.5	0	black	white	0	client		0
10	0.5	0.5	0	black	white	0	client		0
10	0.5	0.5	0	black	white	0	client		0
10	0.5	0.5	0	black	white	0	client		0
10	0.5	0.5	0	black	white	0	client		0
11	0.5	0.5	0	black	white	0	client		0
11	0.5	0.3	90	cadetblue	cadetblue	1	server proposer	Proposer	0
11	0.4	0.577128129	30	mediumslateblue	mediumslateblue	1	server acceptor		0
11	0.6	0.577128129	30	hotpink	hotpink	1	server learner		0
11	0.5	0.5	0	black	white	0	client		0
11	0.5	0.5	0	black	white	0	client		0
11	0.5	0.5	0	black	white	0	client		0
11	0.5	0.5	0	black	white	0	client		0
11	0.5	0.5	0	black	white	0	client		0
11	0.5	0.5	0	black	white	0	client		0
11	0.5	0.5	0	black	white	0	client		0
12	0.5	0.5	0	black	white	0	client		0
12	0.5	0.3	30	cadetblue	cadetblue	1	server proposer		0
12	0.4	0.577128129	90	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	0
12	0.6	0.577128129	30	hotpink	hotpink	1	server learner		0
12	0.5	0.5	0	black	white	0	client		0
12	0.5	0.5	0	black	white	0	client		0
12	0.5	0.5	0	black	white	0	client		0
12	0.5	0.5	0	black	white	0	client		0
12	0.5	0.5	0	black	white	0	client		0
12	0.5	0.5	0	black	white	0	client		0
12	0.5	0.5	0	black	white	0	client		0
13	0.5	0.5	0	black	white	0	client		0
13	0.5	0.3	30	cadetblue	cadetblue	1	server proposer		0
13	0.4	0.577128129	30	mediumslateblue	mediumslateblue	1	server acceptor		0
13	0.6	0.577128129	90	hotpink	hotpink	1	server learner	Learner	0
13	0.5	0.5	0	black	white	0	client		0
13	0.5	0.5	0	black	white	0	client		0
13	0.5	0.5	0	black	white	0	client		0
13	0.5	0.5	0	black	white	0	client		0
13	0.5	0.5	0	black	white	0	client		0
13	0.5	0.5	0	black	white	0	client		0
13	0.5	0.5	0	black	white	0	client		0
14	0.25	0.438564065	50	black	white	1	client	Client	1
14	0.75	0.3	50	cadetblue	cadetblue	1	server proposer	Proposer	1
14	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	0
14	0.85	0.577128129	50	hotpink	hotpink	1	server learner	Learner	0
14	0.5	0.5	0	black	white	0	client		0
14	0.5	0.5	0	black	white	0	client		0
14	0.5	0.5	0	black	white	0	client		0
14	0.5	0.5	0	black	white	0	client		0
14	0.5	0.5	0	black	white	0	client		0
14	0.5	0.5	0	black	white	0	client		0
14	0.5	0.5	0	black	white	0	client		0
15	0.25	0.438564065	50	black	white	1	client	Client	1
15	0.75	0.3	50	cadetblue	cadetblue	1	server proposer	Proposer	1
15	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	1
15	0.85	0.577128129	50	hotpink	hotpink	1	server learner	Learner	0
15	0.5	0.5	0	black	white	0	client		0
15	0.5	0.5	0	black	white	0	client		0
15	0.5	0.5	0	black	white	0	client		0
15	0.5	0.5	0	black	white	0	client		0
15	0.5	0.5	0	black	white	0	client		0
15	0.5	0.5	0	black	white	0	client		0
15	0.5	0.5	0	black	white	0	client		0
16	0.25	0.438564065	50	black	white	1	client	Client	1
16	0.75	0.3	50	cadetblue	cadetblue	1	server proposer	Proposer	1
16	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	1
16	0.85	0.577128129	50	hotpink	hotpink	1	server learner	Learner	0
16	0.5	0.5	0	black	white	0	client		0
16	0.5	0.5	0	black	white	0	client		0
16	0.5	0.5	0	black	white	0	client		0
16	0.5	0.5	0	black	white	0	client		0
16	0.5	0.5	0	black	white	0	client		0
16	0.5	0.5	0	black	white	0	client		0
16	0.5	0.5	0	black	white	0	client		0
17	0.25	0.438564065	50	black	white	1	client	Client	1
17	0.75	0.3	50	cadetblue	cadetblue	1	server proposer	Proposer	1
17	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	1
17	0.85	0.577128129	50	hotpink	hotpink	1	server learner	Learner	0
17	0.5	0.5	0	black	white	0	client		0
17	0.5	0.5	0	black	white	0	client		0
17	0.5	0.5	0	black	white	0	client		0
17	0.5	0.5	0	black	white	0	client		0
17	0.5	0.5	0	black	white	0	client		0
17	0.5	0.5	0	black	white	0	client		0
17	0.5	0.5	0	black	white	0	client		0
18	0.25	0.438564065	50	black	white	1	client	Client	1
18	0.75	0.3	50	cadetblue	cadetblue	1	server proposer	Proposer	1
18	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	1
18	0.85	0.577128129	50	hotpink	hotpink	1	server learner	Learner	0
18	0.5	0.5	0	black	white	0	client		0
18	0.5	0.5	0	black	white	0	client		0
18	0.5	0.5	0	black	white	0	client		0
18	0.5	0.5	0	black	white	0	client		0
18	0.5	0.5	0	black	white	0	client		0
18	0.5	0.5	0	black	white	0	client		0
18	0.5	0.5	0	black	white	0	client		0
19	0.25	0.438564065	50	black	white	1	client	Client	1
19	0.75	0.3	50	cadetblue	cadetblue	1	server proposer	Proposer	1
19	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	1
19	0.85	0.577128129	50	hotpink	hotpink	1	server learner	Learner	1
19	0.5	0.5	0	black	white	0	client		0
19	0.5	0.5	0	black	white	0	client		0
19	0.5	0.5	0	black	white	0	client		0
19	0.5	0.5	0	black	white	0	client		0
19	0.5	0.5	0	black	white	0	client		0
19	0.5	0.5	0	black	white	0	client		0
19	0.5	0.5	0	black	white	0	client		0
20	0.25	0.438564065	50	black	white	1	client	Client	1
20	0.75	0.3	50	cadetblue	cadetblue	1	server proposer	Proposer	1
20	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	1
20	0.85	0.577128129	50	hotpink	hotpink	1	server learner	Learner	1
20	0.5	0.5	0	black	white	0	client		0
20	0.5	0.5	0	black	white	0	client		0
20	0.5	0.5	0	black	white	0	client		0
20	0.5	0.5	0	black	white	0	client		0
20	0.5	0.5	0	black	white	0	client		0
20	0.5	0.5	0	black	white	0	client		0
20	0.5	0.5	0	black	white	0	client		0
21	0.25	0.438564065	50	black	white	1	client	Client	1
21	0.75	0.3	50	cadetblue	cadetblue	1	server proposer	Proposer	1
21	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor	1
21	0.85	0.577128129	50	hotpink	hotpink	1	server learner	Learner	1
21	0.5	0.5	0	black	white	0	client		0
21	0.5	0.5	0	black	white	0	client		0
21	0.5	0.5	0	black	white	0	client		0
21	0.5	0.5	0	black	white	0	client		0
21	0.5	0.5	0	black	white	0	client		0
21	0.5	0.5	0	black	white	0	client		0
21	0.5	0.5	0	black	white	0	client		0
22	0.5	0.7	50	black	white	1	client	Client	1
22	0.15	0.2	50	cadetblue	cadetblue	1	server proposer	Proposer 1	1
22	0.15	0.35	50	cadetblue	cadetblue	1	server proposer	Proposer 2	1
22	0.15	0.5	50	cadetblue	cadetblue	1	server proposer	Proposer 3	1
22	0.5	0.2	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor 1	1
22	0.5	0.35	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor 2	1
22	0.5	0.5	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor 3	1
22	0.85	0.2	50	hotpink	hotpink	1	server learner	Learner 1	1
22	0.85	0.35	50	hotpink	hotpink	1	server learner	Learner 2	1
22	0.85	0.50	50	hotpink	hotpink	1	server learner	Learner 3	1
22	0.5	0.5	0	black	white	0	client		0
23	0.4	0.7	50	black	white	1	client	Client 1	1
23	0.6	0.7	50	black	white	1	client	Client 2	1
23	0.15	0.2	50	cadetblue	cadetblue	1	server proposer	Proposer 1	1
23	0.15	0.35	50	cadetblue	cadetblue	1	server proposer	Proposer 2	1
23	0.15	0.50	50	cadetblue	cadetblue	1	server proposer	Proposer 3	1
23	0.5	0.2	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor 1	1
23	0.5	0.35	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor 2	1
23	0.5	0.50	50	mediumslateblue	mediumslateblue	1	server acceptor	Acceptor 3	1
23	0.85	0.2	50	hotpink	hotpink	1	server learner	Learner 1	1
23	0.85	0.35	50	hotpink	hotpink	1	server learner	Learner 2	1
23	0.85	0.50	50	hotpink	hotpink	1	server learner	Learner 3	1
